SEASON,PLAYER,TEAM,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
2023-24,Alissa Pili,Utah,32,32,28.9,21.5,8,14.7,54.30%,6.3,10.4,60.50%,1.7,4.3,39.00%,3.9,4.8,81.70%,1.4,5.3,6.7,2.4,2,1,0.8,2.1
2023-24,Danae McNeal,East Carolina,33,31,34.4,20.7,7.6,18.6,41.00%,6.5,14.7,44.40%,1.1,3.9,27.90%,4.4,5.6,78.30%,0.8,2.5,3.2,2.3,2.9,3.2,0.7,1.3
2023-24,Yvonne Ejim,Gonzaga,34,33,27.3,19.7,8.4,14,60.10%,8.4,13.8,60.80%,0,0.2,14.30%,2.9,3.5,81.50%,3.2,5.5,8.7,2.3,1.8,1.4,1,2.6
2023-24,Delanie Crawford,Tulsa,35,35,32.2,19,6.3,14.3,43.70%,3.4,7.1,48.20%,2.8,7.2,39.30%,3.7,4.4,83.70%,1.3,4.4,5.7,2.7,2.3,1.1,0.1,2.7
2023-24,McKenna Hofschild,Colorado St.,30,30,36.2,22.1,7.9,17.1,46.10%,6,12.2,48.80%,1.9,4.8,39.30%,4.5,5.5,82.30%,0.2,3.8,4,7.1,2.4,1.2,0.1,1.2
2023-24,Chloe Webb,California Baptist,32,31,31.4,20.7,6.8,13.8,48.90%,4.8,8.5,56.40%,1.9,5.3,36.70%,5.3,6.5,81.20%,1.8,6.1,7.9,2.8,2.1,2.4,0.1,3.2
2023-24,Elizabeth Kitley,Virginia Tech,29,29,34.3,22.8,9.6,17.2,55.60%,9.5,17.1,55.80%,0.1,0.2,40.00%,3.6,4.6,77.40%,3.3,8,11.4,1.8,2.1,0.6,2.1,1.7
2023-24,Ja'Naiya Quinerly,West Virginia,33,33,31,19.8,7.3,15.8,46.20%,5.6,10.9,51.40%,1.7,4.8,34.40%,3.5,4.5,78.50%,1.1,2.2,3.2,2.7,3.3,2.9,0.1,2.5
2023-24,Domonique Davis,Southern Miss.,32,30,32.6,20.2,6.8,15.7,43.50%,5.3,11.3,46.80%,1.5,4.4,35.00%,5,6.1,81.10%,0.4,3.5,3.9,3.3,2.7,1.5,0.1,2.2
2023-24,Aziaha James,NC State,38,38,31.8,16.8,6.1,14.6,41.60%,4.1,8.8,46.40%,2,5.8,34.20%,2.6,3.4,78.10%,0.8,3.8,4.6,2.9,2.2,1,0.2,2.1
2023-24,Tess Heal,Santa Clara,32,32,32.7,19.9,6.6,14.2,46.60%,5.7,11.8,48.40%,0.9,2.5,38.00%,5.7,6.6,86.70%,0.9,2.8,3.7,4.9,3.9,0.9,0.3,1.8
2023-24,Audi Crooks,Iowa St.,33,29,26.1,19.2,7.8,13.5,57.70%,7.7,13.1,58.70%,0.2,0.5,31.30%,3.5,5.3,65.50%,2.5,5.3,7.8,1,2.5,0.5,0.5,2.3
2023-24,Peyton Kennedy,Saint Louis,38,38,30.9,16.7,6.2,12.7,48.80%,4.4,7.8,56.40%,1.8,4.9,36.70%,2.5,2.8,87.90%,2.1,2.9,5.1,1.4,2.1,1.5,0.2,2.7
2023-24,Mackenzie Holmes,Indiana,32,31,28.2,19.8,8.1,12.5,65.00%,8.1,12.1,66.50%,0.1,0.4,16.70%,3.5,4.8,71.60%,2,4.7,6.8,1.4,2.4,0.9,1.6,2.3
2023-24,Katie Dinnebier,Drake,35,35,30.7,18.1,5.7,10.6,53.90%,3.9,6.2,62.70%,1.8,4.4,41.60%,4.8,5.6,85.70%,0.3,2.7,3,6.9,2.9,2.4,0.1,1.7
2023-24,Aaliyah Edwards,UConn,36,36,30.5,17.4,7,11.9,59.00%,7,11.8,59.30%,0,0.1,0.00%,3.4,4.6,73.90%,2.4,6.8,9.2,2,2.4,1.7,1,2.5
2023-24,Anne Simon,Maine,33,33,35.6,18.9,7.1,16.3,43.80%,5.1,10.1,50.80%,2,6.2,32.40%,2.7,3.4,80.20%,1.7,5.5,7.2,3.2,3,2.5,0.2,2.5
2023-24,Kyla McMakin,Saint Louis,38,38,34.9,16.4,5.6,15.6,36.00%,4.2,11.4,36.60%,1.4,4.2,34.60%,3.7,4.6,80.00%,0.7,2.3,2.9,1.2,2.4,1,0.2,1.5
2023-24,Daisha Bradford,ULM,33,33,33.4,18.8,6.5,17,38.40%,4.4,10.1,43.70%,2.1,6.9,30.70%,3.7,4.9,74.70%,1.7,5.7,7.4,4.3,3.2,1.6,0.5,2.8
2023-24,Rachael Rose,Wofford,26,26,37.7,23.8,8.5,17,49.90%,6.4,12,53.50%,2,5,41.10%,4.9,5.7,85.80%,2,6.5,8.5,5.6,2.5,2.2,0.3,1.9
2023-24,Savannah Wheeler,Middle Tenn.,35,35,38.1,17.5,5.8,14.4,40.60%,4.1,9.8,42.20%,1.7,4.5,37.10%,4.2,4.9,86.00%,0.3,4.1,4.4,5,2.4,1.3,0.1,2
2023-24,Angel Reese,LSU,33,33,31.4,18.6,6.4,13.5,47.10%,6.3,13.2,47.80%,0,0.3,11.10%,5.8,8.1,72.60%,5.5,7.8,13.4,2.3,2.4,1.9,1,2.8
2023-24,Ny'Ceara Pryor,Sacred Heart,32,32,33.5,19.1,7,15.3,45.70%,6.7,13.8,48.60%,0.3,1.6,20.00%,4.8,6.7,72.00%,2.2,5,7.2,4.6,2.1,3.4,0.2,2.5
2023-24,Abbey Hsu,Columbia,30,30,34.2,20.4,7.2,16.1,44.60%,4.2,8.3,50.00%,3,7.7,38.80%,3,4,75.20%,1.3,6.1,7.3,2.1,2.2,1.1,0.5,1.7
2023-24,Madison Booker,Texas,37,37,30.8,16.5,6.2,13.5,45.70%,5.7,11.9,47.80%,0.5,1.7,30.60%,3.6,4.1,87.60%,0.8,4.2,5,5,2.9,1.5,0.4,2.4
2023-24,Jada Guinn,Chattanooga,31,31,36.1,19.7,7.6,14.6,51.80%,7.4,14,52.80%,0.2,0.6,30.00%,4.3,5.5,78.40%,1.3,5.8,7.2,2.5,2,0.9,0.3,1.8
2023-24,Aneesah Morrow,LSU,37,34,32.7,16.4,6.5,14,46.40%,6.2,12.4,49.70%,0.4,1.6,21.70%,3.1,3.8,80.10%,3.4,6.6,10,1.7,1.9,2.5,1.1,2.3
2023-24,Unique Drake,St. John's (NY),33,33,36.2,18.4,6.7,15.8,42.40%,4.3,9.4,46.30%,2.4,6.5,36.90%,2.5,3.1,82.40%,0.8,1.4,2.2,1.4,1.7,0.7,0.2,1.6
2023-24,Mickayla Perdue,Cleveland St.,35,29,30.4,17.3,6,12.7,47.30%,3.6,6.4,57.00%,2.4,6.3,37.60%,3,3.9,77.00%,0.4,1,1.5,1.7,2.4,1.1,0.1,1.2
2023-24,Katelyn Young,Murray St.,31,31,29.9,19.5,7.4,14.4,51.20%,6.4,10.8,59.00%,1,3.6,28.30%,3.7,4.2,88.50%,1.9,6.1,7.9,2.2,2.2,0.8,0.6,2
2023-24,Alexis Hutchison,Wright St.,31,31,35.4,19.5,7.1,17.4,40.70%,5,10.9,46.30%,2.1,6.5,31.50%,3.3,3.9,83.50%,0.9,4.8,5.7,3.2,3.1,1.8,0.1,2.5
2023-24,Desi-Rae Young,UNLV,33,33,28.8,18.3,7.6,13.4,56.80%,7.3,12.4,59.10%,0.3,1,29.40%,2.8,4,68.40%,2.7,6.4,9.1,2.2,2.3,1.3,0.4,2.6
2023-24,Georgia Amoore,Virginia Tech,32,32,34.9,18.8,6.9,16.8,41.20%,4.3,8.9,48.10%,2.7,7.9,33.50%,2.3,2.7,85.90%,0.4,2.2,2.6,6.8,3.4,0.9,0.4,2
2023-24,Liatu King,Pittsburgh,32,32,35.4,18.7,7.7,14.7,52.30%,7.7,14.7,52.30%,0,0,--,3.3,4.7,71.10%,3.4,6.9,10.3,1.8,3.4,1.8,1.5,2.8
2023-24,Terren Ward,Ga. Southern,27,27,30.4,22,7.9,20.2,39.00%,5.8,13.8,41.80%,2.1,6.4,32.90%,4.1,5.1,79.70%,3,6,9,1.9,3.4,1.7,0.6,3.5
2023-24,Cameron Brink,Stanford,34,34,25.5,17.4,6.3,12.3,51.10%,5.6,10.2,55.20%,0.6,2,30.40%,4.2,5,83.60%,2.9,8.9,11.8,2.8,2.5,0.8,3.7,2.8
2023-24,Edyn Battle,Jacksonville,29,27,34.2,20.3,7.4,17.2,43.20%,6.2,13.6,45.80%,1.2,3.6,33.30%,4.2,6,70.70%,0.9,2.8,3.7,2.5,3.9,1.6,0.1,2.6
2023-24,Macy McGlone,Eastern Ill.,33,33,35.1,17.8,7.2,14.3,50.10%,6.9,13.5,51.20%,0.2,0.8,30.80%,3.3,4.2,78.30%,4.3,7.6,11.9,1.7,3.4,1.1,1.8,2.5
2023-24,Faith Alston,App State,32,32,34.3,18.3,6,14.7,40.60%,4.4,9.3,47.30%,1.6,5.4,29.10%,4.8,6.1,78.60%,0.5,2.7,3.2,4.7,4.3,1.9,0.2,2.3
2023-24,Grace Berg,Drake,35,35,29.8,16.7,6.1,12.1,50.80%,4.8,8.1,59.00%,1.4,4,34.30%,3.1,3.7,81.70%,1.2,4.1,5.2,2.6,2.9,0.7,0.3,1.7
2023-24,Kaitlin Peterson,UCF,28,28,38,20.8,6.9,18,38.20%,4.6,11.2,41.20%,2.3,6.9,33.30%,4.7,6.2,75.70%,0.8,3,3.8,1.4,2.5,2.1,0.1,1.8
2023-24,Colbi Maples,Cleveland St.,35,35,29,16.6,5.7,12.9,44.40%,4.8,10.2,47.20%,0.9,2.8,34.00%,4.1,6,68.70%,0.7,1.5,2.2,4.1,3.3,1.8,0.1,2
2023-24,Aliyah Matharu,Florida,30,23,24.3,19,6.6,16.6,40.00%,4.9,10.5,46.80%,1.7,6.1,28.00%,4,5,80.10%,1,2.7,3.7,2.4,3.5,2.7,0.3,3.4
2023-24,Kurstyn Harden,SFA,32,31,28.2,17.8,6,10.8,55.30%,6,10.7,56.00%,0,0.2,16.70%,5.7,7.2,79.20%,2.9,4.4,7.3,1.6,2.5,0.8,0.8,2.8
2023-24,Jerkaila Jordan,Mississippi St.,35,35,30.8,16.2,6.1,13.7,44.50%,4.9,10.3,48.20%,1.1,3.4,33.30%,2.9,3.7,79.10%,1.6,4.2,5.9,2.4,2.3,2.1,0.7,2.2
2023-24,Liza Karlen,Marquette,32,32,31,17.7,7.5,15.1,49.70%,6.7,12.9,52.10%,0.8,2.2,35.70%,1.9,2.3,82.20%,2.4,5.5,7.9,2.1,2.4,0.8,1.2,2.1
2023-24,Dazia Lawrence,Charlotte,31,31,33,18.2,6.4,14.9,42.60%,5.2,11.3,46.30%,1.1,3.6,31.30%,4.4,5.5,80.00%,0.7,3.5,4.2,2.7,3,1.8,0.1,2
2023-24,Izzy Higginbottom,Arkansas St.,25,24,38.1,22.5,7.1,15.4,45.90%,5.7,11.6,48.80%,1.4,3.8,36.80%,7,7.6,91.10%,0.8,3.3,4.1,3.7,2.2,1.3,0.2,1.6
2023-24,Adrianna Smith,Maine,34,34,33.9,16.4,6.3,14.5,43.40%,6,13.4,44.90%,0.3,1.1,25.60%,3.6,4.6,76.60%,2.9,7.9,10.8,4.7,2.9,1.4,0.7,3
2023-24,Caitlin Weimar,Boston U.,30,29,35.9,18.6,7.1,12.9,54.90%,7.1,12.9,54.90%,0,0,--,4.4,6.3,70.40%,2.7,8,10.7,1.9,2.4,1.2,2.8,2.7
2023-24,Lauren Jensen,Creighton,32,32,34.8,17.4,6.5,14.7,44.30%,4.2,8.3,50.20%,2.3,6.3,36.60%,2.1,2.3,90.70%,0.6,3.1,3.7,3.1,1.8,0.8,0.3,2
2023-24,Sarah Ashlee Barker,Alabama,33,33,30,16.8,6.5,13.2,49.10%,5.2,9.6,54.30%,1.3,3.6,35.30%,2.6,3.7,71.10%,1.8,4.5,6.3,2.9,3.1,1.9,0.5,2.6
2023-24,Jacy Sheldon,Ohio St.,31,31,34,17.9,6.5,13.2,49.80%,4.6,8,57.70%,1.9,5.2,37.50%,2.9,3.4,86.50%,1,2.3,3.3,3.8,2.4,1.9,0.2,2
2023-24,Laila Phelia,Michigan,33,33,35,16.8,5.9,14,42.30%,4.8,10.6,45.60%,1.1,3.4,32.10%,3.9,4.9,80.10%,1.2,2.4,3.6,2,2.1,1.2,0.3,1.6
2023-24,Ahriahna Grizzle,Florida A&M,30,30,34.3,18.4,6.5,15.5,42.20%,5.3,12,44.60%,1.2,3.5,34.30%,4.1,5.4,76.50%,0.7,2.8,3.5,2.8,3.8,2.2,0.5,3
2023-24,Lauren Gustin,BYU,33,33,36.8,16.7,7.4,14.8,50.30%,7.4,14.4,51.50%,0,0.4,7.70%,1.8,4,45.10%,5.2,10.1,15.3,1.8,3.3,0.5,0.2,2.8
2023-24,Alexis Markowski,Nebraska,35,35,28.9,15.7,6.2,13.2,46.70%,5.6,11.2,49.70%,0.6,2,29.60%,2.7,3.9,71.10%,3.1,7.4,10.5,1.3,1.9,0.7,0.3,2.5
2023-24,Grace Larkins,South Dakota,33,33,33.9,16.6,5.6,12.1,46.40%,4.4,8.6,51.40%,1.2,3.5,33.90%,4.2,5,85.40%,2,5.7,7.7,4.8,4,1.6,0.3,2.7
2023-24,Kierra Wheeler,Norfolk St.,31,31,30.7,17.5,7,14.1,49.50%,6.9,14,49.40%,0.1,0.1,66.70%,3.5,5,70.50%,3.9,5.7,9.6,1.5,2.1,1.4,1.4,2.9
2023-24,Sophie Glancey,Northern Ariz.,34,34,26.6,16,6.4,12,53.70%,6,11.1,53.80%,0.4,0.9,51.70%,2.7,3.6,73.40%,2.7,4.7,7.4,0.9,1.5,0.6,1.2,1.7
2023-24,Leilani Correa,Florida,32,9,29.3,16.9,6,13.7,43.80%,4.4,9.2,47.60%,1.6,4.5,36.10%,3.3,4.3,77.90%,0.8,3.4,4.2,1.8,1.6,1.3,0.4,1.3
2023-24,Raegan Beers,Oregon St.,31,31,28,17.5,7.1,10.7,66.40%,7.1,10.7,66.80%,0,0.1,0.00%,3.2,5.1,62.70%,3.2,7.1,10.3,1.6,2.4,1.2,1.3,2.4
2023-24,Deja Kelly,North Carolina,33,33,36.1,16.3,5.2,15,34.60%,4.2,11.4,36.50%,1,3.6,28.60%,4.9,7.1,69.40%,0.5,3.4,3.9,3.2,2.7,1.4,0.3,2.5
2023-24,Maggie Doogan,Richmond,35,34,30.8,15.4,5.6,11.7,48.30%,4,7.1,56.50%,1.6,4.6,35.60%,2.5,2.9,87.00%,0.6,5.1,5.7,2.3,3.1,0.8,1,2.4
2023-24,Flau'jae Johnson,LSU,36,34,32.4,14.9,5.6,11.1,50.40%,4.6,8.5,54.10%,1,2.6,38.00%,2.8,3.6,76.90%,2.1,3.5,5.5,2.5,2,2.1,1,2.4
2023-24,Amari Robinson,Clemson,31,31,30.9,17.3,6.3,11.8,53.00%,5.4,9.3,57.80%,0.9,2.5,35.40%,3.9,4.9,79.10%,3,3.7,6.6,1.4,2.8,1,0.1,2.2
2023-24,Bronagh Power-Cassidy,Holy Cross,32,32,33.2,16.8,6.3,13.9,45.10%,3.8,7.7,49.20%,2.5,6.3,40.00%,1.7,2.2,77.50%,1.3,3.6,4.9,1.7,1.8,1,0.5,2.6
2023-24,Kaitlyn Zarycki,Western Mich.,29,29,34.9,18.5,6.7,12.6,52.70%,5.5,10.3,53.40%,1.2,2.3,50.00%,4,4.5,89.20%,1.4,3.3,4.7,3.7,3.4,1.8,0.3,2.8
2023-24,Emma Ronsiek,Creighton,32,32,33.9,16.8,5.8,12.4,47.20%,4.6,8.6,53.50%,1.3,3.8,33.10%,3.8,4.3,89.10%,1.3,4,5.3,2.7,2.1,1,1.2,2.7
2023-24,Ja'Mia Hollings,Troy,34,33,29.4,15.8,6.4,13.1,49.10%,5.7,10.8,53.10%,0.7,2.3,29.90%,2.3,3.2,70.60%,2.6,6.6,9.3,0.7,2.1,1.6,0.8,2.6
2023-24,Honesty Scott-Grayson,Auburn,31,30,29.4,17.3,6.3,15.2,41.30%,5,11.1,45.50%,1.3,4.2,30.20%,3.4,4.5,76.80%,0.8,3.4,4.2,2.3,2.8,1.5,0.4,2.4
2023-24,Ayoka Lee,Kansas St.,27,27,27.2,19.7,8.2,13.2,61.90%,8.1,13.2,61.80%,0,0,100.00%,3.3,4.7,70.30%,2.7,5.8,8.6,0.8,1.3,1,2.8,2.3
2023-24,Talya Brugler,Saint Joseph's,34,34,33.3,15.6,6,11.1,54.10%,5.6,9.6,58.20%,0.4,1.4,26.50%,3.3,3.8,86.70%,1.8,2.5,4.3,2.5,1.9,0.7,0.7,2.1
2023-24,Laniah Randle,Southern Ill.,29,28,30.8,18.3,6.9,14.3,48.60%,6.9,14.2,48.80%,0,0.1,0.00%,4.4,6,74.00%,3.6,5,8.6,1.5,2.6,2.2,0.7,3.5
2023-24,Kacie Borowicz,North Dakota,25,25,35.7,21.1,7.7,19,40.50%,6.4,15.2,42.40%,1.2,3.8,33.00%,4.5,4.9,91.90%,1.2,4,5.2,3.3,5,1.6,0.1,2.7
2023-24,Zanai Barnett-Gay,Navy,29,29,34.7,18.2,6.8,16.7,40.60%,5.8,13.2,43.80%,1,3.5,28.70%,3.6,4.6,78.40%,1.1,4.9,6,3,3.2,2.9,0.2,3.4
2023-24,Gigi Gonzalez,Stony Brook,33,33,31,15.9,5.3,13.4,39.80%,4,9.1,43.90%,1.3,4.3,31.20%,3.9,4.8,82.20%,1.1,2.8,3.8,4.8,3.9,1.4,0,1.7
2023-24,Peyton McDaniel,James Madison,34,34,26.9,15.4,5.5,12.6,43.50%,3.1,6.1,51.90%,2.4,6.6,35.70%,2,2.5,80.20%,1.7,5.5,7.2,0.8,1.8,0.9,0.4,1.7
2023-24,Jakayla Johnson,ULM,33,33,31.9,15.8,4.9,10.7,45.60%,3.5,6.9,50.20%,1.4,3.8,37.30%,4.7,5.5,84.20%,0.9,3.8,4.7,2.7,2.5,1.3,0.2,2.2
2023-24,Serah Williams,Wisconsin,30,29,30,17.4,6.4,12.3,51.90%,6.1,11.5,53.20%,0.3,0.8,33.30%,4.4,5.5,79.50%,3.1,7.6,10.7,0.9,3.6,0.8,2.8,2.6
2023-24,Emma Utterback,Vermont,36,36,33.4,14.5,6.1,13.8,44.00%,5.6,11.7,47.40%,0.5,2,24.70%,1.9,3.1,60.20%,0.5,2.4,2.9,3.9,3.3,1.1,0.3,2.1
2023-24,Anaya Peoples,DePaul,31,31,32,16.8,6.6,15.1,44.00%,6.3,13.3,47.60%,0.3,1.8,17.90%,3.2,4.5,71.20%,1.7,6.3,8,3.4,2.6,2.4,0.9,2.8
2023-24,Abby Beeman,Marshall,31,31,29.2,16.8,6.2,13.2,47.20%,4.3,7.5,56.90%,2,5.7,34.50%,2.4,3.3,71.80%,1.9,3.5,5.5,6.1,3.9,2.3,0.3,1.7
2023-24,Brooklyn Meyer,South Dakota St.,31,31,28.5,16.8,6.7,11.3,59.00%,6.7,11.3,59.00%,0,0,--,3.5,5.5,62.90%,2.5,5.1,7.6,1.9,2.8,0.9,1.8,2.3
2023-24,Sara Scalia,Indiana,32,32,33,16.3,5.2,11.8,43.50%,1.9,4.3,44.90%,3.2,7.5,42.70%,2.7,3,89.70%,0.4,3.4,3.8,2.4,1,0.9,0.1,1.2
2023-24,Kenley McCarn,UT Martin,31,31,38,16.7,6,13.9,43.30%,3.8,8.1,47.40%,2.2,5.8,37.40%,2.5,3.1,83.20%,0.5,3.9,4.5,2.8,3.8,1.5,0.3,1.8
2023-24,Tonie Morgan,Georgia Tech,33,33,32,15.6,5.7,12.4,45.70%,5.2,10.6,49.10%,0.5,1.8,25.40%,3.8,5.7,67.90%,1.5,5.3,6.8,5.2,3.8,1.7,0.3,2.2
2023-24,Tiara Young,SMU,30,30,32.4,17.2,6.3,14,45.00%,5.9,12.5,46.80%,0.4,1.5,29.50%,4.1,5.9,70.50%,0.7,4.4,5.2,2.1,2.7,1,0.3,2.8
2023-24,Jordan Webster,UC Riverside,30,30,34.4,17.1,5.4,14.8,36.30%,3.6,8.9,39.90%,1.8,5.9,30.70%,4.6,5.4,84.00%,1.4,4,5.4,1.5,2,2.5,0.1,1.6
2023-24,Ashlyn Traylor-Walker,Radford,32,30,31.7,16,5.5,15.1,36.60%,4.3,10.4,41.40%,1.2,4.7,26.00%,3.8,5.1,73.20%,1.9,4.3,6.2,2.3,4.5,1.7,0.8,3.1
2023-24,Raegan McCowan,Western Ill.,26,25,31.4,19.7,7.4,16.9,43.70%,7.1,16,44.20%,0.3,0.9,34.80%,4.6,5.8,80.00%,2.5,6,8.5,1.2,3.2,0.7,0.2,2.7
2023-24,Kate Martin,Iowa,39,39,28.8,13.1,4.7,9.4,50.70%,3.4,5.8,59.00%,1.3,3.5,37.00%,2.3,2.6,86.40%,1.3,5.5,6.8,2.3,2,0.9,0.5,1.6
2023-24,Brynna Maxwell,Gonzaga,36,36,26.9,14.2,4.6,9.9,46.20%,1.9,3.8,49.60%,2.7,6.1,44.00%,2.4,2.8,86.90%,0.6,2.2,2.9,0.9,1,1.1,0.3,1.6
2023-24,Makira Cook,Illinois,31,31,34.7,16.4,5.8,14.4,40.00%,4.3,10.2,42.00%,1.5,4.2,35.40%,3.4,4,85.40%,0.6,2.5,3.1,4.4,2.8,1,0.2,2.2
2023-24,Jasmine Shavers,Texas Tech,33,31,28.6,15.4,5.2,13.1,40.10%,3.6,8.1,44.20%,1.7,5,33.50%,3.2,3.9,83.60%,0.9,4.1,5,1.5,2.4,1.3,0,1.5
2023-24,S'Mya Nichols,Kansas,33,33,30.1,15.4,4.7,10.3,46.00%,3.8,8,47.70%,0.9,2.3,40.00%,5,6.1,82.60%,0.7,2.1,2.8,2.7,2.8,1.4,0.1,2.8
2023-24,Anastasiia Boldyreva,Middle Tenn.,35,35,30.2,14.5,6.2,10.1,61.00%,5.7,9.1,62.70%,0.5,1,45.70%,1.7,3,56.20%,2.8,5.7,8.5,0.9,2.1,0.7,2.9,2.7
2023-24,Maya McDermott,UNI,31,30,28.2,16.3,6,14,42.50%,4.2,8.6,48.30%,1.8,5.4,33.30%,2.6,2.7,96.40%,0.3,2.6,2.9,3.5,1.3,1,0,0.9
2023-24,Javyn Nicholson,Georgia,30,24,30.6,16.8,6.9,14.5,47.40%,6.9,14.5,47.50%,0,0,0.00%,3.1,4.2,73.80%,2.4,6.3,8.7,1.1,2.6,0.9,0.5,1.9
2023-24,Rickea Jackson,Tennessee,25,24,31.5,20.2,8,16.4,48.50%,7.1,13.8,51.30%,0.9,2.6,33.80%,3.4,4.4,78.00%,2.3,5.8,8.2,2.3,2.9,0.7,0.2,2.1
2023-24,Tai'Sheka Porchia,Troy,34,33,28.5,14.9,5.8,11,53.10%,5.8,10.9,53.10%,0,0.1,50.00%,3.2,4.4,73.00%,4.1,3.9,8,0.8,1.8,1.3,0.5,2.1
2023-24,Madison Griggs,Memphis,30,30,37,16.8,5.9,16.1,36.90%,2.9,7.7,37.40%,3.1,8.4,36.50%,1.9,2.4,78.90%,0.3,2.9,3.2,2,3,1.8,0.2,1.6
2023-24,Sarah Te-Biasu,VCU,31,31,32,16.3,5.5,13.6,40.70%,2.9,6.6,43.70%,2.6,7,37.80%,2.5,2.9,86.70%,0.4,2.7,3.1,2.9,2.2,2,0,1.6
2023-24,DesiRay Kernal,North Texas,31,31,31.1,16.2,5.4,10.8,50.00%,4.7,9.1,51.90%,0.6,1.6,39.20%,4.8,6.3,76.80%,2,6.6,8.6,2.3,3.7,1.5,0.1,2.5
2023-24,Tessa Miller,Belmont,35,35,29,14.4,5.5,9.4,57.90%,5.4,8.9,60.30%,0.1,0.5,16.70%,3.4,4.9,68.60%,1.7,4.5,6.2,3.2,2.9,0.7,0.8,2.8
2023-24,Milahnie Perry,Air Force,30,28,31.7,16.8,6.2,15.5,39.90%,4.8,11.6,41.30%,1.4,3.8,35.70%,3.1,4,77.30%,0.7,1.7,2.4,2.6,2,1.1,0.5,1.7
2023-24,Jalyn Brown,Arizona St.,29,27,35.9,17.3,6.2,16,38.80%,4.9,12.3,39.90%,1.3,3.7,35.20%,3.6,4.6,76.90%,1.1,2.8,4,1.6,2.9,0.9,0.2,2.8
2023-24,Destiny Adams,Rutgers,32,32,29.9,15.6,5.8,11.6,50.10%,5.8,11.3,51.00%,0,0.3,12.50%,4,5.8,68.30%,3.1,4.9,7.9,1.8,3.6,1.6,0.8,3.5
2023-24,Kayla Cooper,UAlbany,31,31,30.4,16.1,6.5,12.4,52.70%,6.5,12.3,53.20%,0,0.1,0.00%,3.1,4.3,72.70%,2.8,4.7,7.5,2,3.1,1.3,0.5,2.8
2023-24,Skylar Vann,Oklahoma,33,32,26.5,15.1,6.2,13.6,45.20%,5,9.6,52.40%,1.1,4,28.00%,1.7,2.2,77.80%,2.6,4.4,7,2.4,1.9,1.1,0.5,2.5
2023-24,McKenzie Forbes,Southern California,35,35,34,14.3,4.9,12.8,38.40%,2.6,6.7,39.30%,2.3,6.1,37.40%,2.1,2.7,78.10%,0.8,2.2,3.1,3.3,2.2,0.8,0.2,2.1
2023-24,Shyanne Sellers,Maryland,32,32,32.2,15.6,5,11.5,43.40%,4.3,9.5,45.90%,0.7,2.1,31.80%,4.9,5.8,84.90%,1,4.8,5.8,5.5,3.4,1.3,0.6,2.8
