SEASON,PLAYER,TEAM,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
2023-24,Caitlin Clark,Iowa,39,39,34.8,31.6,10.3,22.7,45.50%,5.2,9.1,57.10%,5.2,13.6,37.80%,5.8,6.8,86.00%,0.4,6.9,7.4,8.9,4.7,1.7,0.5,2
2023-24,JuJu Watkins,Southern California,34,34,34.6,27.1,9,22.4,40.10%,7,16.3,43.20%,2,6.2,31.90%,7.1,8.3,85.20%,1.6,5.6,7.3,3.3,4.1,2.3,1.6,2.6
2023-24,Paige Bueckers,UConn,38,38,32.2,22.2,8.3,15.6,53.00%,6.1,10.4,58.90%,2.2,5.2,41.40%,3.5,4.2,83.10%,0.9,4.3,5.2,3.8,1.6,2.2,1.4,1.7
2023-24,Lucy Olsen,Villanova,35,35,36.2,23.3,8.9,20.3,43.80%,7.3,14.9,48.90%,1.6,5.3,29.40%,3.9,4.9,80.70%,1,3.8,4.8,3.8,2.5,1.9,0.6,2.3
2023-24,Hannah Hidalgo,Notre Dame,35,35,35.8,22.6,7.9,17.8,44.60%,6.5,13.6,47.80%,1.4,4.2,34.00%,5.3,6.8,77.60%,0.7,5.5,6.2,5.5,3.4,4.6,0.1,2.7
2023-24,Chellia Watson,Buffalo,32,31,36.8,23.2,9.1,21.6,42.00%,7.2,15.5,46.10%,1.9,6,31.60%,3.2,3.9,80.20%,1.1,4,5.1,3.3,2.9,1.1,0.1,2.1
2023-24,Temira Poindexter,Tulsa,35,35,34.1,21,7.6,17.5,43.20%,5.1,10,51.30%,2.4,7.5,32.30%,3.4,4.7,71.70%,0.7,4.6,5.3,1.9,3.3,0.7,1.5,1.8
2023-24,Dyaisha Fair,Syracuse,32,30,37.4,22.3,7.4,18.8,39.20%,3.8,9.3,40.70%,3.6,9.5,37.70%,3.9,4.9,79.60%,1.4,3.2,4.6,3.6,2.1,2.4,0.2,0.5
2023-24,Ta'Niya Latson,Florida St.,33,33,31,21.4,7.8,17.8,43.80%,7,14.8,47.20%,0.8,3,27.00%,4.9,5.8,85.30%,0.5,3.6,4.2,4.1,3,1.5,0.5,1.6
2023-24,Kiki Iriafen,Stanford,36,36,27.8,19.4,8.1,14.8,54.60%,8,14.6,54.90%,0.1,0.2,33.30%,3.2,4.2,77.30%,3.9,7.2,11,2.3,2.3,0.7,0.6,2.9
