StateFIPS,State,Year,Value,Data Comment,,Pollutant
05,Arkansas,2017,1.31,,,Pollutant: Acetaldehyde
05,Arkansas,2017,0.51,,,Pollutant: Carbon tetrachloride
05,Arkansas,2018,0.19,,,Pollutant: Benzene
05,Arkansas,2018,1.51,,,Pollutant: Formaldehyde
05,Arkansas,2018,1.18,,,Pollutant: Acetaldehyde
05,Arkansas,2018,0.37,,,Pollutant: Carbon tetrachloride
05,Arkansas,2018,0.01,,,"Pollutant: 1,3-butadiene"
06,California,2005,1.25,,,Pollutant: Benzene
06,California,2005,3.51,,,Pollutant: Formaldehyde
06,California,2005,2.39,,,Pollutant: Acetaldehyde
06,California,2005,0.61,,,Pollutant: Carbon tetrachloride
06,California,2005,0.11,,,"Pollutant: 1,3-butadiene"
06,California,2011,0.64,,,Pollutant: Benzene
06,California,2011,1.78,,,Pollutant: Formaldehyde
06,California,2011,1.67,,,Pollutant: Acetaldehyde
06,California,2011,0.55,,,Pollutant: Carbon tetrachloride
06,California,2011,0.06,,,"Pollutant: 1,3-butadiene"
06,California,2014,0.35,,,Pollutant: Benzene
06,California,2014,1.61,,,Pollutant: Formaldehyde
06,California,2014,1.26,,,Pollutant: Acetaldehyde
06,California,2014,0.52,,,Pollutant: Carbon tetrachloride
06,California,2014,0.04,,,"Pollutant: 1,3-butadiene"
06,California,2017,0.15,,,Pollutant: Benzene
06,California,2017,1.26,,,Pollutant: Formaldehyde
06,California,2017,0.96,,,Pollutant: Acetaldehyde
06,California,2017,0.48,,,Pollutant: Carbon tetrachloride
06,California,2018,0.15,,,Pollutant: Benzene
06,California,2018,1.2,,,Pollutant: Formaldehyde
06,California,2018,0.91,,,Pollutant: Acetaldehyde
06,California,2018,0.35,,,Pollutant: Carbon tetrachloride
06,California,2018,0.01,,,"Pollutant: 1,3-butadiene"
08,Colorado,2005,1.5,,,Pollutant: Benzene
08,Colorado,2005,1.54,,,Pollutant: Formaldehyde
08,Colorado,2005,1.38,,,Pollutant: Acetaldehyde
08,Colorado,2005,0.61,,,Pollutant: Carbon tetrachloride
08,Colorado,2005,0.07,,,"Pollutant: 1,3-butadiene"
08,Colorado,2011,0.87,,,Pollutant: Benzene
08,Colorado,2011,1.27,,,Pollutant: Formaldehyde
08,Colorado,2011,1.6,,,Pollutant: Acetaldehyde
08,Colorado,2011,0.55,,,Pollutant: Carbon tetrachloride
08,Colorado,2011,0.09,,,"Pollutant: 1,3-butadiene"
08,Colorado,2014,0.37,,,Pollutant: Benzene
08,Colorado,2014,0.88,,,Pollutant: Formaldehyde
08,Colorado,2014,0.72,,,Pollutant: Acetaldehyde
08,Colorado,2014,0.45,,,Pollutant: Carbon tetrachloride
08,Colorado,2014,0.03,,,"Pollutant: 1,3-butadiene"
08,Colorado,2017,0.1,,,Pollutant: Benzene
08,Colorado,2017,0.6,,,Pollutant: Formaldehyde
08,Colorado,2017,0.35,,,Pollutant: Acetaldehyde
08,Colorado,2017,0.42,,,Pollutant: Carbon tetrachloride
08,Colorado,2018,0.11,,,Pollutant: Benzene
08,Colorado,2018,0.61,,,Pollutant: Formaldehyde
08,Colorado,2018,0.34,,,Pollutant: Acetaldehyde
08,Colorado,2018,0.31,,,Pollutant: Carbon tetrachloride
