Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
Blended,567,"Draper, Sharon M.",Banned in Libraries,nan,nan,nan,Texas,Clear Creek Independent School District,April 2022,Formal Challenge,4.16,16751.0
"Bless Me, Ultima",67,"Anaya, Rudolfo",Banned Pending Investigation,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,3.82,34628.0
Blindspot: Hidden Biases of Good People,159,"Banaji, Mahzarin R.",Banned in Classrooms,"Greenwald, Anthony G.",nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.73,6211.0
Blood Sport,1489,"McAdam, Tash",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.52,5118.0
Blood Water Paint,1507,"McCullough, Joy",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.15,8963.0
Bloom,1775,"Panetta, Kevin",Banned Pending Investigation,nan,"Ganucheau, Savanna",nan,Tennessee,Collierville Schools,February 2022,Administrator,3.92,55081.0
Blue Is the Warmest Color,1471,"Maroh, Julie",Banned in Libraries and Classrooms,nan,nan,"Hahnenberger, Ivanka",Texas,Frisco Independent School District,April 2022,Administrator,3.91,33347.0
Body Talk: 37 Voices Explore Our Radical Anatomy,1053,"Jensen, Kelly",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.04,554.0
Bonds of Brass,2169,"Skrutskie, Emily",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.83,4589.0
"Born Out of Struggle: Critical Race Theory, School Creation, and the Politics of Interruption",2273,"Stovall, David Omotoso",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.08,24.0
Bowery Girl,244,"Blakemore, Kim Taylor",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.76,711.0
"Boy Erased: A Memoir of Identity, Faith, and Family",427,"Conley, Garrard",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.62,20202.0
Boy Girl Boy,1264,"Koertge, Ron",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,3.83,29734.0
Boy Girl Boy,1265,"Koertge, Ron",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.83,29734.0
Boy2Girl,236,"Blacker, Terence",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.42,1612.0
Brave Face: A Memoir,999,"Hutchinson, Shaun David",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.41,2840.0
Brave Face: A Memoir,1000,"Hutchinson, Shaun David",Banned in Libraries and Classrooms,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.41,2840.0
Brave Face: A Memoir,1001,"Hutchinson, Shaun David",Banned in Classrooms,nan,nan,nan,Texas,Leander Independent School District,September 2021,Administrator,4.41,2840.0
Brave Face: A Memoir,1002,"Hutchinson, Shaun David",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.41,2840.0
Brave Leaders and Activists,1587,"Miller, J. P.",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.67,3.0
Brave New World,1012,"Huxley, Aldous",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.99,1861028.0
Brave New World,1013,"Huxley, Aldous",Banned in Libraries and Classrooms,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,3.99,1861028.0
Breathless,1725,"Niven, Jennifer",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,3.88,81917.0
Bridge to Terabithia,1788,"Paterson, Katherine",Banned Pending Investigation,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,4.05,547573.0
Broken Things,1749,"Oliver, Lauren",Banned Pending Investigation,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,3.58,14278.0
"Brother Eagle, Sister Sky",381,Chief Seattle,Banned Pending Investigation,nan,"Jeffers, Susan",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.09,893.0
Brown Girl Dreaming,2499,"Woodson, Jacqueline",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.16,87659.0
Bruised,259,"Boteju, Tanya",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.5,7218.0
Burn Baby Burn,1544,"Medina, Meg",Banned in Libraries,nan,nan,nan,Indiana,Middlebury Community Schools,December 2021,Administrator,3.8,4982.0
Burn Baby Burn,1545,"Medina, Meg",Banned in Classrooms,nan,nan,nan,Texas,Richardson Independent School District,September 2021,Administrator,3.8,4982.0
Burn Our Bodies Down,1888,"Power, Rory",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.51,11340.0
Burned (Burned Series),922,"Hopkins, Ellen",Banned in Classrooms,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,4.0,9.0
Burned (Burned Series),923,"Hopkins, Ellen",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,4.0,9.0
Burned (House of Night Series),352,"Cast, P. C.",Banned in Libraries and Classrooms,"Cast, Kristin",nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.23,31.0
Call Me By Your Name (Call Me By Your Name Series),6,"Aciman, André",Banned Pending Investigation,nan,nan,nan,Virginia,Spotsylvania County Public Schools,November 2021,Administrator,4.14,74.0
"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",1313,"Latham, Irene",Banned in Classrooms,"Waters, Charles","Qualls, Sean; Alko, Selina",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.34,1821.0
Can We Talk about Race?: And Other Conversations in an Era of School Resegregation,2308,"Tatum, Beverly Daniel",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.11,488.0
Can't Take That Away,2047,"Salvatore, Steven",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.09,1874.0
Caraval (Caraval Series),726,"Garber, Stephanie",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,April 2022,Administrator,4.37,2193.0
Carmela Full of Wishes,504,"de la Peña, Matt",Banned in Classrooms,nan,"Robinson, Christian",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.05,2356.0
Carry On (Simon Snow Series),2006,"Rowell, Rainbow",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.18,312766.0
Carter Reads the Newspaper,965,"Hopkinson, Deborah",Banned Pending Investigation,nan,"Tate, Don",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.34,559.0
Caste: The Origins of Our Discontents,2472,"Wilkerson, Isabel",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.54,138236.0
Catching the Moon: The Story of a Young Girl's Baseball Dream,989,"Hubbard, Crystal",Banned in Classrooms,nan,"DuBurke, Randy",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.36,494.0
Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,1344,"Leff, Carrie",Banned Pending Investigation,"Klein, Lisa",nan,nan,Florida,Walton County School District,April 2022,Administrator,4.38,90.0
Celebrating Different Beliefs,362,"Cavell-Clarke, Steffi",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.67,3.0
"Celia Cruz, Queen of Salsa",365,"Chambers, Veronica",Banned Pending Investigation,nan,"Maren, Julie",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.22,220.0
Cemetery Boys,2332,"Thomas, Aiden",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.28,91911.0
Cemetery Boys,2333,"Thomas, Aiden",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.28,91911.0
Cemetery Boys,2334,"Thomas, Aiden",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.28,91911.0
Cemetery Boys,2335,"Thomas, Aiden",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.28,91911.0
Changing the Equation: 50+ US Black Women in STEM,254,"Bolden, Tonya",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.23,48.0
Channel Kindness: Stories of Kindness and Community,257,Born This Way Foundation Reporters,Banned Pending Investigation,Lady Gaga,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.94,591.0
Charmed,1452,"Mac, Carrie",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.23,60097.0
Chasing Space Young Readers' Edition,1555,"Melvin, Leland",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.83,392.0
Cheer Up: Love and Pompoms,707,"Frasier, Crystal",Banned Pending Investigation,"Wise, Val",nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.24,9840.0
Cherry,2002,"Rosin, Lindsey",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,4.12,32900.0
Chicken Girl,2194,"Smith, Heather",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.59,321.0
Chicken Girl,2195,"Smith, Heather",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,3.59,321.0
Chik Chak Shabbat,1975,"Rockliff, Mara",Banned Pending Investigation,nan,"Brooker, Kyrsten",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.02,259.0
"Chocolate Milk, Por Favor",537,"Dismondy, Maria",Banned in Classrooms,nan,"Farrell, Donna",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.0,205.0
Chosen (House of Night Series),353,"Cast, P. C.",Banned in Libraries and Classrooms,"Cast, Kristin",nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.23,31.0
Cinderella Is Dead,180,"Bayron, Kalynn",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.69,74952.0
Cinderella Is Dead,181,"Bayron, Kalynn",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.69,74952.0
Cinderella Is Dead,182,"Bayron, Kalynn",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.69,74952.0
Citizen: An American Lyric,1907,"Rankine, Claudia",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.27,47405.0
City of Heavenly Fire (The Mortal Instruments Series),389,"Clare, Cassandra",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.53,4944.0
City of Heavenly Fire (The Mortal Instruments Series),390,"Clare, Cassandra",Banned in Libraries and Classrooms,nan,nan,nan,Idaho,Nampa School District,May 2022,Administrator,4.53,4944.0
City of Heavenly Fire (The Mortal Instruments Series),391,"Clare, Cassandra",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,4.53,4944.0
City of Heavenly Fire (The Mortal Instruments Series),392,"Clare, Cassandra",Banned Pending Investigation,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,4.53,4944.0
Clap When You Land,1,"Acevedo, Elizabeth",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.24,100923.0
Class Act,457,"Craft, Jerry",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.29,10495.0
Class Act,458,"Craft, Jerry",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,September 2021,Administrator,4.29,10495.0
Class Act,459,"Craft, Jerry",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.29,10495.0
Clean Getaway,2261,"Stone, Nic",Banned in Classrooms,nan,nan,nan,North Carolina,Wilkes County School District,May 2022,Administrator,3.98,7632.0
Climbing Lincoln's Steps: The African American Journey,2171,"Slade, Suzanne",Banned Pending Investigation,nan,"Bootman, Colin",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.88,58.0
Combat Zone,1121,"Jones, Patrick",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.95,11073.0
Come with Me,1511,"McGhee, Holly M.",Banned in Classrooms,nan,Pascal Lemaître,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.91,62111.0
Coming Out: Telling Family and Friends,2103,"Seba, Jaime A.",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.5,8.0
Condoleezza Rice: Being the Best (Gateway Biographies),2418,"Wade, Mary Dodson",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.75,4.0
"Considering Hate: Violence, Goodness, and Justice in American Culture and Politics",2467,"Whitlock, Kay",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.88,50.0
Cool for the Summer,13,"Adler, Dahlia",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.78,10433.0
Coolies,2520,Yin,Banned Pending Investigation,nan,"Soentpiet, Chris K.",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.8,864.0
Counting on Katherine: How Katherine Johnson Saved Apollo 13,195,"Becker, Helaine",Banned in Classrooms,nan,"Phumiruk, Dow",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.49,1485.0
Courageous Conversations About Race: A Field Guide for Achieving Equity in Schools and Beyond,2168,"Singleton, Glenn E.",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.15,866.0
Cow on the Town: Practicing the Ow Sound,730,"Garcia, Isabella",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.0,2.0
Cradle and All,1789,"Patterson, James",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.84,33889.0
Cradle and All,1790,"Patterson, James",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.84,33889.0
Crank (Crank Series),924,"Hopkins, Ellen",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,March 2022,Administrator,4.63,997.0
Crank (Crank Series),925,"Hopkins, Ellen",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.63,997.0
Crank (Crank Series),926,"Hopkins, Ellen",Banned in Libraries,nan,nan,nan,Georgia,Cherokee County School District,January 2022,Formal Challenge,4.63,997.0
Crank (Crank Series),927,"Hopkins, Ellen",Banned in Libraries and Classrooms,nan,nan,nan,Idaho,Nampa School District,May 2022,Administrator,4.63,997.0
Crank (Crank Series),928,"Hopkins, Ellen",Banned in Libraries,nan,nan,nan,Indiana,Carmel Clay Schools,July 2021,Administrator,4.63,997.0
Crank (Crank Series),929,"Hopkins, Ellen",Banned Pending Investigation,nan,nan,nan,Kansas,Goddard Public Schools,November 2021,Administrator,4.63,997.0
Crank (Crank Series),930,"Hopkins, Ellen",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,4.63,997.0
Crank (Crank Series),931,"Hopkins, Ellen",Banned in Classrooms,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,4.63,997.0
Crank (Crank Series),932,"Hopkins, Ellen",Banned in Libraries,nan,nan,nan,Tennessee,Wilson County School District,May 2022,Other,4.63,997.0
Crank (Crank Series),933,"Hopkins, Ellen",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,4.63,997.0
Crank (Crank Series),934,"Hopkins, Ellen",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,4.63,997.0
Crank (Crank Series),935,"Hopkins, Ellen",Banned in Libraries,nan,nan,nan,Wisconsin,School District of Waukesha,December 2021,Administrator,4.63,997.0
Crazy Horse's Vision,295,"Bruchac, Joseph",Banned Pending Investigation,nan,"Nelson, S.D.",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.04,332.0
Crier's War (Crier's War Series),2398,"Varela, Nina",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.26,21744.0
Cross My Heart (Cross My Heart Series),812,"Gould, Sasha",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.74,864.0
Crossing Lines,2414,"Volponi, Paul",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.45,5459.0
Crown of Feathers (Crown of Feathers Series),1792,"Pau Preto, Nicki",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.25,4881.0
Crown: An Ode to the Fresh Cut,164,"Barnes, Derrick",Banned in Classrooms,nan,"James, Gordon C.",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.38,4671.0
Crush,1453,"Mac, Carrie",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.27,111728.0
Cultivating Genius: An Equity Framework for Culturally and Historically Responsive Literacy,1658,"Muhammad, Gholdy",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.47,2305.0
"Culturally Responsive Teaching: Theory, Research, and Practice",741,"Gay, Geneva",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,3.9,336.0
Culturally Sustaining Pedagogies: Teaching and Learning for Justice in a Changing World,1779,"Paris, Django",Banned in Classrooms,H. Samy Alim,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.39,207.0
Cut Both Ways,1558,"Mesrobian, Carrie",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,2.93,1568.0
Cut Both Ways,1559,"Mesrobian, Carrie",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,2.93,1568.0
"Dad, Jackie, and Me",2386,"Uhlberg, Myron",Banned Pending Investigation,nan,"Bootman, Colin",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.25,487.0
Daddy's Roommate,2475,"Willhoite, Michael",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.6,635.0
"Daddy, Papa, and Me",1716,"Newman, Lesléa",Banned Pending Investigation,nan,"Thompson, Carol",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.13,537.0
"Daddy, There's A Noise Outside",267,"Braswell, Kenneth",Banned in Classrooms,nan,"Dent, Joe; Anderson, Julie",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.94,35.0
Damsel,113,"Arnold, Elana K.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,March 2022,Administrator,3.68,37208.0
Dark and Deepest Red,1519,"McLemore, Anna-Marie",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.57,3404.0
Darkness Before Dawn,568,"Draper, Sharon M.",Banned in Classrooms,nan,nan,nan,North Carolina,Pitt County Schools,November 2021,Administrator,3.96,12554.0
"Date Me, Bryson Keller",2395,"van Whye, Kevin",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.91,19923.0
Date Violence (Life Balance),1307,"Landau, Elaine",Banned Pending Investigation,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,5.0,1.0
Daughters Unto Devils,1412,"Lukavics, Amy",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.59,4139.0
Daughters Unto Devils,1413,"Lukavics, Amy",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.59,4139.0
Day of the Dead,1116,"Johnston, Tony",Banned Pending Investigation,nan,"Winter, Jeanette",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.14,8677.0
Dead Until Dark (Sookie Stackhouse Series),862,"Harris, Charlaine",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.97,540838.0
Dear Juno,1771,"Pak, Soyung",Banned Pending Investigation,nan,"Hartung, Susan Kathleen",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.96,390.0
Dear Martin,2262,"Stone, Nic",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.35,79502.0
Dear Martin,2263,"Stone, Nic",Banned Pending Investigation,nan,nan,nan,Florida,Lee County Schools,May 2022,Administrator,4.35,79502.0
Dear Martin,2264,"Stone, Nic",Banned in Libraries,nan,nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,4.35,79502.0
Dear Martin,2265,"Stone, Nic",Banned in Classrooms,nan,nan,nan,Missouri,Monett R-1 School District,December 2021,Administrator,4.35,79502.0
Dear Martin,2266,"Stone, Nic",Banned in Libraries and Classrooms,nan,nan,nan,New York,Marlboro Central School District,February 2022,Administrator,4.35,79502.0
Dear Martin,2267,"Stone, Nic",Banned in Classrooms,nan,nan,nan,North Carolina,Haywood County Schools,January 2022,Administrator,4.35,79502.0
Dear Martin,2268,"Stone, Nic",Banned in Libraries,nan,nan,nan,Wisconsin,School District of Waukesha,December 2021,Administrator,4.35,79502.0
Death Prefers Blondes,1982,"Roehrig, Caleb",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.78,1245.0
Death Wind,205,"Bell, William",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.2,3174.0
Death Wind,206,"Bell, William",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.2,3174.0
Deogratias: A Tale of Rwanda,2237,"Stassen, Jean-Philippe",Banned in Libraries and Classrooms,nan,nan,"Siegel, Alexis",Florida,Indian River County School District,November 2021,Administrator,3.47,1394.0
Deposing Nathan,2183,"Smedley, Zack",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.23,1993.0
Destined (House of Night Series),354,"Cast, P. C.",Banned in Libraries and Classrooms,"Cast, Kristin",nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.23,31.0
Detour for Emmy,1943,"Reynolds, Marilyn",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.21,425.0
Did I Mention I Need You? (DIMILY Series),1481,"Maskame, Estelle",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.97,34668.0
Dim Sum for Everyone!,1372,"Lin, Grace",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.88,1112.0
Dime,701,"Frank, E. R.",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.07,36238.0
Discovering Wes Moore,1606,"Moore, Wes",Banned in Libraries,nan,nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,3.89,1068.0
Dishes,2427,"Wallace, Rich",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.29,1260.0
"Doing It Right: Making Smart, Safe, and Satisfying Choices About Sex",1777,"Pardes, Bronwen",Banned in Libraries,nan,nan,nan,Indiana,Carmel Clay Schools,July 2021,Administrator,3.96,47.0
"Doing It Right: Making Smart, Safe, and Satisfying Choices About Sex",1778,"Pardes, Bronwen",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.96,47.0
Doing It!: Let's Talk About Sex,2492,"Witton, Hannah",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.08,2984.0
Doing It!: Let's Talk About Sex,2493,"Witton, Hannah",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,4.08,2984.0
Doing It!: Let's Talk About Sex,2494,"Witton, Hannah",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.08,2984.0
Don't Touch My Hair!,1590,"Miller, Sharee",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.27,4175.0
Dope Sick,1666,"Myers, Walter Dean",Banned Pending Investigation,nan,nan,"Jackson, J.D.",Florida,Lee County Schools,May 2022,Administrator,3.76,1964.0
Dragonwings,2519,"Yep, Laurence",Banned in Classrooms,nan,nan,nan,Tennessee,Blount County Schools,February 2022,Formal Challenge,4.42,2167.0
Drama: A Graphic Novel,2313,"Telgemeier, Raina",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.19,145964.0
Drama: A Graphic Novel,2314,"Telgemeier, Raina",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Jackson County School District,April 2022,Administrator,4.19,145964.0
Drama: A Graphic Novel,2315,"Telgemeier, Raina",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Lee County Schools,March 2022,Administrator,4.19,145964.0
Drama: A Graphic Novel,2316,"Telgemeier, Raina",Banned in Libraries,nan,nan,nan,Florida,Polk County Public Schools,January 2022,Administrator,4.19,145964.0
Drama: A Graphic Novel,2317,"Telgemeier, Raina",Banned in Libraries,nan,nan,nan,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,4.19,145964.0
Drama: A Graphic Novel,2318,"Telgemeier, Raina",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,4.19,145964.0
Drama: A Graphic Novel,2319,"Telgemeier, Raina",Banned in Libraries and Classrooms,nan,nan,nan,Idaho,Nampa School District,May 2022,Administrator,4.19,145964.0
Drama: A Graphic Novel,2320,"Telgemeier, Raina",Banned in Libraries,nan,nan,nan,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator,4.19,145964.0
Drama: A Graphic Novel,2321,"Telgemeier, Raina",Banned Pending Investigation,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,4.19,145964.0
Drama: A Graphic Novel,2322,"Telgemeier, Raina",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.19,145964.0
Drama: A Graphic Novel,2323,"Telgemeier, Raina",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.19,145964.0
Draw Me a Star,340,"Carle, Eric",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.86,1498.0
Draw the Line,1374,"Linn, Laurent",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.82,1199.0
Drawn Together,1323,"Le, Minh",Banned in Classrooms,nan,"Santat, Dan",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.43,5785.0
Dreadnought (H.I.V.E. Series),2419,"Walden, Mark",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.6,91.0
Dreadnought (H.I.V.E. Series),2420,"Walden, Mark",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.6,91.0
Dreamers,1610,"Morales, Yuyi",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.29,121550.0
Dreamers,1611,"Morales, Yuyi",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.29,121550.0
Dreaming in Cuban,727,"García, Cristina",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Lee County Schools,March 2022,Administrator,3.68,11673.0
