StateFIPS,State,Year,Value,Data Comment,,Gender
06,California,2004,8.9,,,Female
06,California,2005,35.1,,,Male
06,California,2005,8.1,,,Female
06,California,2006,34.6,,,Male
06,California,2006,7.9,,,Female
06,California,2007,34.5,,,Male
06,California,2007,8.2,,,Female
06,California,2008,33.7,,,Male
06,California,2008,8.2,,,Female
06,California,2009,33.2,,,Male
06,California,2009,8.1,,,Female
06,California,2010,33.6,,,Male
06,California,2010,7.7,,,Female
06,California,2011,32.3,,,Male
06,California,2011,7.8,,,Female
06,California,2012,32.2,,,Male
06,California,2012,7.5,,,Female
06,California,2013,31,,,Male
06,California,2013,7.2,,,Female
06,California,2014,30.6,,,Male
06,California,2014,7.1,,,Female
06,California,2015,29.5,,,Male
06,California,2015,6.8,,,Female
06,California,2016,29.3,,,Male
06,California,2016,7.1,,,Female
06,California,2017,28.2,,,Male
06,California,2017,6.5,,,Female
06,California,2018,26.7,,,Male
06,California,2018,6.7,,,Female
06,California,2019,27,,,Male
06,California,2019,6.3,,,Female
06,California,2020,25.3,,,Male
06,California,2020,5.6,,,Female
08,Colorado,2001,37.7,,,Male
08,Colorado,2001,9.7,,,Female
08,Colorado,2002,37,,,Male
08,Colorado,2002,9.5,,,Female
08,Colorado,2003,36.7,,,Male
08,Colorado,2003,9.1,,,Female
08,Colorado,2004,34.7,,,Male
08,Colorado,2004,8.2,,,Female
08,Colorado,2005,34.5,,,Male
08,Colorado,2005,8.8,,,Female
08,Colorado,2006,32.8,,,Male
08,Colorado,2006,8.6,,,Female
08,Colorado,2007,33.7,,,Male
08,Colorado,2007,9.2,,,Female
08,Colorado,2008,31,,,Male
08,Colorado,2008,8.5,,,Female
08,Colorado,2009,33.8,,,Male
08,Colorado,2009,8.3,,,Female
08,Colorado,2010,33.2,,,Male
08,Colorado,2010,8.2,,,Female
08,Colorado,2011,33,,,Male
08,Colorado,2011,8.1,,,Female
08,Colorado,2012,33.2,,,Male
08,Colorado,2012,8.6,,,Female
08,Colorado,2013,34.5,,,Male
08,Colorado,2013,8.3,,,Female
08,Colorado,2014,32.2,,,Male
08,Colorado,2014,7.9,,,Female
08,Colorado,2015,31.1,,,Male
08,Colorado,2015,7.5,,,Female
08,Colorado,2016,32.5,,,Male
08,Colorado,2016,7.9,,,Female
08,Colorado,2017,30.3,,,Male
08,Colorado,2017,7.5,,,Female
08,Colorado,2018,29.7,,,Male
08,Colorado,2018,7.4,,,Female
08,Colorado,2019,30.9,,,Male
08,Colorado,2019,8,,,Female
08,Colorado,2020,27.6,,,Male
08,Colorado,2020,6.8,,,Female
09,Connecticut,2001,44.9,,,Male
09,Connecticut,2001,13.1,,,Female
09,Connecticut,2002,43.9,,,Male
09,Connecticut,2002,11.6,,,Female
09,Connecticut,2003,45.4,,,Male
09,Connecticut,2003,13.2,,,Female
09,Connecticut,2004,46.1,,,Male
09,Connecticut,2004,12.4,,,Female
09,Connecticut,2005,46.3,,,Male
09,Connecticut,2005,11.8,,,Female
09,Connecticut,2006,46.6,,,Male
09,Connecticut,2006,13.9,,,Female
09,Connecticut,2007,47.8,,,Male
09,Connecticut,2007,11.4,,,Female
09,Connecticut,2008,48.9,,,Male
09,Connecticut,2008,12,,,Female
09,Connecticut,2009,46,,,Male
09,Connecticut,2009,13.3,,,Female
09,Connecticut,2010,47.6,,,Male
09,Connecticut,2010,13.1,,,Female
09,Connecticut,2011,48.3,,,Male
09,Connecticut,2011,12.2,,,Female
09,Connecticut,2012,47.8,,,Male
09,Connecticut,2012,12.7,,,Female
09,Connecticut,2013,48.7,,,Male
09,Connecticut,2013,11.6,,,Female
09,Connecticut,2014,43.3,,,Male
09,Connecticut,2014,12.4,,,Female
09,Connecticut,2015,45.4,,,Male
09,Connecticut,2015,10.9,,,Female
09,Connecticut,2016,42.1,,,Male
09,Connecticut,2016,12,,,Female
09,Connecticut,2017,41.9,,,Male
09,Connecticut,2017,10.3,,,Female
09,Connecticut,2018,39,,,Male
09,Connecticut,2018,11.2,,,Female
09,Connecticut,2019,40.2,,,Male
09,Connecticut,2019,9.1,,,Female
09,Connecticut,2020,35.8,,,Male
09,Connecticut,2020,8.4,,,Female
10,Delaware,2001,40.4,,,Male
10,Delaware,2001,10.8,,,Female
10,Delaware,2002,41.8,,,Male
10,Delaware,2002,9.1,,,Female
10,Delaware,2003,44.6,,,Male
10,Delaware,2003,10.6,,,Female
10,Delaware,2004,45,,,Male
10,Delaware,2004,13.7,,,Female
10,Delaware,2005,44.6,,,Male
10,Delaware,2005,12,,,Female
10,Delaware,2006,44.2,,,Male
10,Delaware,2006,11.6,,,Female
10,Delaware,2007,45.6,,,Male
10,Delaware,2007,11.7,,,Female
10,Delaware,2008,50.4,,,Male
10,Delaware,2008,11.4,,,Female
10,Delaware,2009,44,,,Male
10,Delaware,2009,10.5,,,Female
10,Delaware,2010,40.4,,,Male
10,Delaware,2010,11.5,,,Female
10,Delaware,2011,43.9,,,Male
10,Delaware,2011,12.7,,,Female
10,Delaware,2012,42,,,Male
10,Delaware,2012,11.1,,,Female
10,Delaware,2013,40.8,,,Male
10,Delaware,2013,10.5,,,Female
10,Delaware,2014,45.5,,,Male
10,Delaware,2014,9.4,,,Female
10,Delaware,2015,45.2,,,Male
10,Delaware,2015,9.3,,,Female
10,Delaware,2016,43.8,,,Male
10,Delaware,2016,10,,,Female
10,Delaware,2017,37.8,,,Male
10,Delaware,2017,10.2,,,Female
10,Delaware,2018,38.3,,,Male
10,Delaware,2018,11,,,Female
10,Delaware,2019,39.7,,,Male
10,Delaware,2019,9.9,,,Female
10,Delaware,2020,32.7,,,Male
10,Delaware,2020,8.3,,,Female
11,District of Columbia,2001,27.7,,,Male
11,District of Columbia,2001,11,,,Female
11,District of Columbia,2002,26.6,,,Male
11,District of Columbia,2002,7.1,,,Female
11,District of Columbia,2003,31.6,,,Male
11,District of Columbia,2003,9.9,,,Female
11,District of Columbia,2004,23.5,,,Male
11,District of Columbia,2004,6.8,,,Female
11,District of Columbia,2005,22.6,,,Male
11,District of Columbia,2005,9.6,,,Female
11,District of Columbia,2006,26.4,,,Male
11,District of Columbia,2006,8.5,,,Female
11,District of Columbia,2007,30,,,Male
11,District of Columbia,2007,10.1,,,Female
11,District of Columbia,2008,24.6,,,Male
11,District of Columbia,2008,5.9,,,Female
11,District of Columbia,2009,24.7,,,Male
11,District of Columbia,2009,8.9,,,Female
11,District of Columbia,2010,23.8,,,Male
11,District of Columbia,2010,11.2,,,Female
11,District of Columbia,2011,23.6,,,Male
11,District of Columbia,2011,8.8,,,Female
11,District of Columbia,2012,31.8,,,Male
11,District of Columbia,2012,9.6,,,Female
11,District of Columbia,2013,18.6,,,Male
11,District of Columbia,2013,8.9,,,Female
11,District of Columbia,2014,19.8,,,Male
11,District of Columbia,2014,6.2,,,Female
11,District of Columbia,2015,21.6,,,Male
11,District of Columbia,2015,6.3,,,Female
11,District of Columbia,2016,18.2,,,Male
11,District of Columbia,2016,7,,,Female
11,District of Columbia,2017,27.3,,,Male
11,District of Columbia,2017,8,,,Female
11,District of Columbia,2018,25,,,Male
11,District of Columbia,2018,7.2,,,Female
11,District of Columbia,2019,25.6,,,Male
11,District of Columbia,2019,7.1,,,Female
11,District of Columbia,2020,17.9,,,Male
11,District of Columbia,2020,5.3,,,Female
12,Florida,2001,43,,,Male
12,Florida,2001,10.1,,,Female
12,Florida,2002,42.3,,,Male
12,Florida,2002,10.6,,,Female
12,Florida,2003,40.7,,,Male
12,Florida,2003,10.2,,,Female
12,Florida,2004,40.9,,,Male
